ticker,num_episodes,avg_gap_days,avg_cycle_days,std_gap_days,coefficient_variation,last_pump,predicted_next,predictability
ICCM,4,32.333333333333336,33.333333333333336,2.6246692913372702,0.08117533890733825,2025-10-06,2025-11-07,HIGH
HBIO,3,49.0,49.0,6.0,0.12244897959183673,2025-10-30,2025-12-18,HIGH
XHLD,5,29.5,31.25,5.5901699437494745,0.18949728622879575,2025-10-28,2025-11-26,HIGH
PPBT,3,46.0,49.0,9.0,0.1956521739130435,2025-10-29,2025-12-14,HIGH
MODD,3,65.0,65.0,13.0,0.2,2025-11-03,2026-01-07,HIGH
NAKA,3,33.0,42.0,8.0,0.24242424242424243,2025-10-27,2025-11-29,HIGH
IXHL,3,49.0,53.5,12.0,0.24489795918367346,2025-10-30,2025-12-18,HIGH
VRME,3,38.5,39.0,10.5,0.2727272727272727,2025-10-20,2025-11-27,HIGH
EHGO,5,35.5,36.5,11.280514172678478,0.31776096261066133,2025-10-28,2025-12-02,MEDIUM
AZI,4,49.333333333333336,49.333333333333336,16.779617264870957,0.3401273769906275,2025-11-06,2025-12-25,MEDIUM
MOBX,6,25.4,28.0,9.350935782048769,0.3681470780334161,2025-11-04,2025-11-29,MEDIUM
SGMO,3,46.5,46.5,17.5,0.3763440860215054,2025-09-25,2025-11-10,MEDIUM
AIRE,4,33.333333333333336,36.666666666666664,13.27487183449325,0.3982461550347975,2025-10-23,2025-11-25,MEDIUM
CHGG,4,34.666666666666664,34.666666666666664,13.960261060914616,0.40269983829561395,2025-09-18,2025-10-22,MEDIUM
PFSA,4,21.0,21.0,9.273618495495704,0.44160088073789067,2025-10-29,2025-11-19,MEDIUM
PCSA,4,36.0,37.0,16.268579122549905,0.45190497562638626,2025-10-08,2025-11-13,MEDIUM
ATCH,3,26.0,35.0,12.0,0.46153846153846156,2025-10-09,2025-11-04,MEDIUM
FEMY,7,21.333333333333332,21.833333333333332,10.077477638553983,0.47238176430721796,2025-11-03,2025-11-24,MEDIUM
MBRX,6,28.4,29.6,13.588230201170424,0.47845880990036704,2025-11-03,2025-12-01,MEDIUM
LBGJ,4,35.0,35.666666666666664,17.568911937472585,0.5019689124992167,2025-10-30,2025-12-04,MEDIUM
SHOT,5,23.25,25.25,11.712706775122479,0.50377233441387,2025-10-06,2025-10-29,MEDIUM
ORIS,6,24.4,27.2,12.387090053761618,0.5076676251541647,2025-11-04,2025-11-28,MEDIUM
VSEE,4,38.0,38.0,19.30457631409368,0.50801516616036,2025-10-29,2025-12-06,MEDIUM
OPI,4,28.333333333333332,28.333333333333332,14.70449666674185,0.5189822352967712,2025-09-15,2025-10-13,MEDIUM
PRPL,3,46.0,46.0,25.0,0.5434782608695652,2025-10-23,2025-12-08,MEDIUM
ARBK,3,46.0,46.5,26.0,0.5652173913043478,2025-10-06,2025-11-21,MEDIUM
CENN,3,60.5,61.5,44.5,0.7355371900826446,2025-10-24,2025-12-23,LOW
